rank,chemical_id,chemical_name,ensemble_score,is_known_GBM_therapeutic,anti_neoplastic,n_targets
1125,C084833,secbutabarbital,-1.3536033630371094,False,False,20
1126,C025655,lofexidine,-1.3554493188858032,False,False,7
1127,D005447,Fluocinonide,-1.3580185174942017,False,False,4
1128,C000605269,enasidenib,-1.3588404655456543,False,True,8
1129,C100146,trimethobenzamide,-1.3603872060775757,False,False,2
1130,C000705477,pemigatinib,-1.3611087799072266,False,True,6
1131,D006639,Histidine,-1.36304771900177,False,False,10
1132,C013769,rimexolone,-1.3633540868759155,False,False,11
1133,C550722,nirogacestat,-1.3659652471542358,False,True,19
1134,D014282,Trihexyphenidyl,-1.3682914972305298,False,False,18
1135,D008469,Meclofenamic Acid,-1.370549201965332,False,False,22
1136,D004103,Iodoquinol,-1.3705511093139648,False,False,9
1137,D000077409,Tamsulosin,-1.3718923330307007,False,True,10
1138,D007792,Lactulose,-1.3718973398208618,False,False,4
1139,C000604197,mecasermin,-1.3722561597824097,False,False,4
1140,C013580,isoxicam,-1.3742486238479614,False,False,2
1141,D002440,Cefoxitin,-1.3753457069396973,False,False,9
1142,C051458,vapreotide,-1.3764156103134155,False,True,7
1143,C010637,terodiline,-1.3770381212234497,False,False,31
1144,C061363,sparfloxacin,-1.3771535158157349,False,False,3
1145,C000720612,belzutifan,-1.3785762786865234,False,False,6
1146,C000603944,netarsudil,-1.379259467124939,False,False,4
1147,C512204,"N-(3-amino-1-(cyclobutylmethyl)-2,3-dioxopropyl)-3-(2-((((1,1-dimethylethyl)amino)carbonyl)amino)-3,3-dimethyl-1-oxobutyl)-6,6-dimethyl-3-azabicyclo(3.1.0)hexan-2-carboxamide",-1.3820077180862427,False,False,6
1148,D000069056,Lurasidone Hydrochloride,-1.382158875465393,False,False,8
1149,D002991,Clofazimine,-1.3834638595581055,False,False,8
1150,D005045,Etomidate,-1.3872299194335938,False,False,19
1151,C000708352,trilaciclib,-1.3874295949935913,False,False,7
1152,C017136,clometacin,-1.390457034111023,False,False,2
1153,C000654848,viltolarsen,-1.3905377388000488,False,False,1
1154,D002191,Canrenoic Acid,-1.3909306526184082,False,False,2
1155,D000983,Antipyrine,-1.3934555053710938,False,False,1
1156,D008801,Mexiletine,-1.3946064710617065,False,False,18
1157,D000077613,Etoricoxib,-1.3949466943740845,False,False,8
1158,C074619,bivalirudin,-1.3958263397216797,False,False,6
1159,D007444,Inulin,-1.3972951173782349,False,False,7
1160,C100104,deserpidine,-1.3978151082992554,False,False,4
1161,D017829,Granisetron,-1.398872971534729,False,True,12
1162,D016293,Moricizine,-1.4012255668640137,False,False,14
1163,D020156,Salicylic Acid,-1.4054723978042603,False,False,32
1164,C043414,denatonium,-1.4058130979537964,False,False,10
1165,C082938,rapacuronium,-1.406577467918396,False,False,6
1166,D002514,Cephapirin,-1.407162070274353,False,False,13
1167,C014794,retinol palmitate,-1.4077602624893188,False,False,8
1168,D006591,Hexobarbital,-1.4079879522323608,False,False,12
1169,D000077408,Modafinil,-1.4088493585586548,False,False,10
1170,C013756,nitrefazole,-1.4091371297836304,False,False,7
1171,C508420,continuous erythropoietin receptor activator,-1.4095569849014282,False,False,1
1172,C000634427,abrocitinib,-1.41037118434906,False,False,6
1173,C036604,esmolol,-1.4145151376724243,False,False,16
1174,D000077582,Amisulpride,-1.4206790924072266,False,False,28
1175,C009361,sulisobenzone,-1.4214352369308472,False,False,2
1176,D010404,Penicillin V,-1.4227161407470703,False,False,9
1177,D000077770,Amifampridine,-1.4295357465744019,False,False,41
1178,D014299,Trimipramine,-1.4304383993148804,False,False,39
1179,C022155,oxiconazole,-1.4347068071365356,False,False,7
1180,D000070,Acebutolol,-1.4367694854736328,False,False,8
1181,C012852,colchiceine,-1.441036581993103,False,False,3
1182,D000068900,Sitagliptin Phosphate,-1.4416745901107788,False,False,5
1183,C406224,valdecoxib,-1.4423986673355103,False,False,13
1184,C561435,sonidegib,-1.4463906288146973,False,True,7
1185,C000591922,brexpiprazole,-1.448337197303772,False,False,15
1186,D015366,Pefloxacin,-1.4488011598587036,False,False,10
1187,C119141,Ospemifene,-1.4508813619613647,False,False,8
1188,C000600736,polatuzumab vedotin,-1.4511407613754272,False,False,20
1189,D000080044,Ado-Trastuzumab Emtansine,-1.4516105651855469,False,True,21
1190,D010096,Oxprenolol,-1.4556013345718384,False,False,7
1191,D007203,Indigo Carmine,-1.4582616090774536,False,False,8
1192,D009355,Neomycin,-1.4652074575424194,False,False,6
1193,D000068582,Certolizumab Pegol,-1.4655874967575073,False,False,7
1194,C000607776,ozanimod,-1.4661026000976562,False,False,6
1195,D010644,Phenprocoumon,-1.4663887023925781,False,False,9
1196,C053090,epinastine,-1.469893455505371,False,False,11
1197,D005478,Flurandrenolone,-1.470047950744629,False,False,4
1198,D001539,Bendroflumethiazide,-1.4729217290878296,False,False,5
1199,D000078308,Tiagabine,-1.4734278917312622,False,False,4
1200,C000615620,ubrogepant,-1.4734711647033691,False,False,2
1201,D009278,Naphazoline,-1.4743150472640991,False,False,13
1202,C018861,carbetapentane,-1.474818229675293,False,False,16
1203,C118563,clevidipine,-1.4749239683151245,False,False,11
1204,C015173,dipivefrin,-1.4759882688522339,False,False,9
1205,C493870,bedaquiline,-1.480825424194336,False,False,1
1206,D004009,Dicloxacillin,-1.481880784034729,False,False,7
1207,C111599,istradefylline,-1.4819217920303345,False,False,5
1208,D000077557,Ibandronic Acid,-1.4843829870224,False,False,7
1209,C032257,methylnaltrexone,-1.4851926565170288,False,False,6
1210,D002116,Calcitonin,-1.4856271743774414,False,False,6
1211,D010417,Pentaerythritol Tetranitrate,-1.4858087301254272,False,False,7
1212,D015119,Aminocaproic Acid,-1.4862931966781616,False,False,6
1213,C000607739,darolutamide,-1.4874787330627441,False,True,14
1214,D010400,Penicillin G,-1.489232063293457,False,False,25
1215,D006206,Halcinonide,-1.4907461404800415,False,False,4
1216,C000630124,givosiran,-1.4911926984786987,False,False,3
1217,C000599718,GSK1278863,-1.492522120475769,False,False,5
1218,D020909,Acarbose,-1.4927691221237183,False,False,8
1219,C000593333,tazemetostat,-1.4929879903793335,False,True,7
1220,D000077604,Fomepizole,-1.4940037727355957,False,False,16
1221,C000717211,sacubitril,-1.494110107421875,False,False,2
1222,D001120,Arginine,-1.4955676794052124,False,False,11
1223,D016210,Methacholine Chloride,-1.4994152784347534,False,False,11
1224,C000654784,Cenobamate,-1.4995698928833008,False,False,28
